Group ID,Temporal sequence,Group size,Cumulative rainfall (mm),Average maximum temperature (degrees C),fGC (g/ng dry feces)
3,7,21,0.0,30.5,81.2
3,8,21,0.0,32.1,105.3
3,9,21,0.0,34.0,92.6
3,10,21,0.8,36.0,70.7
3,11,19,81.0,34.7,34.4
3,12,20,228.0,32.5,110.7
3,13,20,3.2,34.7,98.3
3,14,19,56.3,35.4,99.9
3,15,20,35.2,34.1,138.3
3,16,20,7.2,33.6,72.1
3,17,20,0.0,32.0,107.0
3,18,20,0.0,30.7,100.7
3,19,21,0.0,32.6,113.4
3,20,20,0.0,33.6,270.8
3,21,21,0.0,35.2,129.0
3,22,22,26.2,33.1,75.2
3,23,22,24.0,31.9,62.5
3,24,22,61.0,32.0,59.8
3,25,21,0.0,34.1,74.5
3,26,21,43.4,33.3,82.9
3,27,23,58.0,32.9,59.8
3,28,24,48.8,31.2,74.6
3,29,24,0.0,30.2,72.2
3,30,24,0.0,30.3,86.0
3,31,25,0.8,28.8,95.5
3,32,25,1.0,32.1,96.0
3,33,25,7.2,34.0,61.6
3,34,25,50.5,32.4,58.3
3,35,25,130.9,31.0,69.4
3,36,24,5.4,32.3,89.9
3,37,23,9.8,36.1,72.4
3,38,23,12.7,36.0,80.4
3,39,23,19.6,34.6,42.9
3,40,22,101.8,29.8,89.3
3,41,23,0.0,30.5,88.3
3,42,24,0.0,29.8,90.9
3,43,25,0.0,30.6,96.6
3,44,25,0.0,32.6,90.8
3,45,25,0.8,33.8,93.3
3,46,27,27.6,32.4,81.9
3,47,26,7.0,33.4,91.8
3,48,27,68.0,32.7,67.8
3,49,28,42.6,32.4,93.2
3,50,28,30.8,35.0,82.8
3,51,28,30.6,33.3,67.7
3,52,27,6.6,33.0,64.6
3,53,28,0.0,30.4,83.8
3,54,33,0.0,30.8,86.2
3,55,33,0.0,30.7,63.9
3,56,34,0.2,32.7,51.7
3,57,32,7.8,33.5,73.4
3,58,31,11.0,34.0,41.7
3,59,29,77.6,33.3,48.8
3,60,28,16.6,35.1,59.6
3,61,25,0.0,35.8,71.5
3,62,23,116.2,35.3,87.6
3,63,22,90.4,33.2,81.7
3,64,24,23.9,33.4,66.8
3,65,26,4.2,31.1,72.7
3,66,25,1.0,29.0,109.2
3,67,27,0.0,29.8,114.2
3,68,26,0.0,32.8,104.9
3,69,27,4.6,34.4,72.6
3,70,28,30.0,32.7,75.6
3,71,28,0.0,34.2,65.3
3,72,28,10.8,34.5,58.5
